num_pages,memory_size,locality,sequence_len,frames_to_pages,freq_var,best_algo
43,5,0.91,126,0.11627906976744186,0.0721549710220943,Optimal
25,8,0.45,94,0.32,0.2823282015231043,LRU
40,9,0.69,169,0.225,0.04673883054856098,LRU
28,7,0.05,40,0.25,0.6229466907316976,Optimal
26,10,0.31,78,0.38461538461538464,0.3173136634351737,LRU
32,4,0.39,83,0.125,0.317252828393141,LRU
41,4,0.66,92,0.0975609756097561,0.053905787453495536,LRU
8,10,0.92,28,1.25,0.009149570159855418,Optimal
6,5,0.27,191,0.8333333333333334,0.3983312299431045,Optimal
39,2,0.28,123,0.05128205128205128,0.5614741938858387,FIFO
10,7,0.54,73,0.7,0.058963703076601245,LRU
22,11,0.45,33,0.5,0.41499963794892836,LRU
19,9,0.56,59,0.47368421052631576,0.3784354040765479,LRU
49,3,0.54,43,0.061224489795918366,0.19369587725114598,LRU
49,10,0.32,64,0.20408163265306123,0.11362499393201975,LRU
11,10,0.75,155,0.9090909090909091,0.026242476352810542,Optimal
15,4,0.69,182,0.26666666666666666,0.2514589758082064,LRU
9,11,0.37,60,1.2222222222222223,0.5817821360333237,LRU
13,9,0.45,52,0.6923076923076923,0.08646138339158171,LRU
27,9,0.65,191,0.3333333333333333,0.2358306034768921,LRU
31,4,0.47,120,0.12903225806451613,0.5165066695006025,LRU
7,2,0.7,161,0.2857142857142857,0.16332481101838553,Optimal
13,11,0.07,198,0.8461538461538461,0.11930622841979656,Optimal
43,2,0.33,115,0.046511627906976744,0.48639620011495477,LRU
41,8,0.59,162,0.1951219512195122,0.319798370122385,LRU
40,8,0.31,105,0.2,0.615770528028475,LRU
46,10,0.14,47,0.21739130434782608,0.7080421875199145,FIFO
48,5,0.85,94,0.10416666666666667,0.058786577835712,Optimal
32,10,0.34,148,0.3125,0.20139348654991335,LRU
17,10,0.32,174,0.5882352941176471,0.32345553392705273,LRU
41,2,0.16,191,0.04878048780487805,0.2685588948193173,FIFO
36,9,0.68,132,0.25,0.05068896716738668,LRU
16,8,0.5,132,0.5,0.11663911847902995,LRU
21,2,0.93,73,0.09523809523809523,0.009082196172734543,Optimal
36,2,0.62,145,0.05555555555555555,0.0875540462551983,LRU
48,11,0.94,179,0.22916666666666666,0.03800562308948728,Optimal
15,9,0.26,57,0.6,0.31894356639102267,Optimal
38,7,0.41,163,0.18421052631578946,0.5025456251578855,LRU
10,4,0.58,183,0.4,0.04827019933472963,LRU
7,4,0.36,71,0.5714285714285714,0.605741400346012,LRU
44,8,0.89,148,0.18181818181818182,0.07789332158688879,Optimal
29,3,0.88,61,0.10344827586206896,0.03985769579323681,Optimal
20,11,0.93,79,0.55,0.02343223801431575,Optimal
5,6,0.86,28,1.2,0.049137790426614925,Optimal
23,4,0.82,73,0.17391304347826086,0.1443398384289351,Optimal
28,5,0.13,183,0.17857142857142858,0.7905679296167031,FIFO
24,4,0.39,118,0.16666666666666666,0.5955414463786691,LRU
22,3,0.49,182,0.13636363636363635,0.35025021811169366,LRU
45,5,0.69,52,0.1111111111111111,0.16879634653617828,LRU
24,9,0.63,154,0.375,0.27707299477595904,LRU
37,4,0.62,41,0.10810810810810811,0.12144445803564659,LRU
42,7,0.4,27,0.16666666666666666,0.40081485803852196,LRU
38,6,0.5,47,0.15789473684210525,0.35101582684839483,LRU
37,6,0.26,67,0.16216216216216217,0.26099439338561,FIFO
39,2,0.09,191,0.05128205128205128,0.8612355805850368,FIFO
33,6,0.85,143,0.18181818181818182,0.017086643231397105,Optimal
28,2,0.55,114,0.07142857142857142,0.43526609072114736,LRU
37,5,0.32,179,0.13513513513513514,0.5888956429683164,LRU
7,3,0.55,73,0.42857142857142855,0.32689206765336404,LRU
44,9,0.24,194,0.20454545454545456,0.753196833471316,FIFO
6,11,0.84,36,1.8333333333333333,0.13820845046915314,Optimal
13,7,0.37,189,0.5384615384615384,0.5219077751563173,LRU
39,3,0.83,32,0.07692307692307693,0.02948390960123678,Optimal
11,10,0.62,39,0.9090909090909091,0.2602876643259957,LRU
20,4,0.35,111,0.2,0.40363596387192185,LRU
36,8,0.65,70,0.2222222222222222,0.18166337571172497,LRU
26,11,0.82,68,0.4230769230769231,0.024050406577372743,Optimal
10,7,0.53,120,0.7,0.2679088990031822,LRU
48,6,0.46,25,0.125,0.07911731648794335,LRU
34,4,0.62,71,0.11764705882352941,0.08339893440709567,LRU
46,4,0.77,82,0.08695652173913043,0.1127387926792136,Optimal
30,6,0.22,81,0.2,0.6648580445995685,FIFO
13,6,0.1,141,0.46153846153846156,0.21671400456357973,Optimal
38,7,0.69,136,0.18421052631578946,0.2090774956822948,LRU
43,6,0.6,95,0.13953488372093023,0.2437733957778675,LRU
41,7,0.06,88,0.17073170731707318,0.17365681207520184,FIFO
34,5,0.21,163,0.14705882352941177,0.14856008822286204,FIFO
25,8,0.36,120,0.32,0.2935387270128871,LRU
14,7,0.62,53,0.5,0.12722561918286618,LRU
14,11,0.89,115,0.7857142857142857,0.09579249427764389,Optimal
9,5,0.6,99,0.5555555555555556,0.2712709401542736,LRU
32,5,0.57,197,0.15625,0.26489304512703826,LRU
37,2,0.78,190,0.05405405405405406,0.20841003213775194,Optimal
7,2,0.92,93,0.2857142857142857,0.022881273911125655,Optimal
33,3,0.09,54,0.09090909090909091,0.3666379019938671,FIFO
30,9,0.4,109,0.3,0.24393726751068961,LRU
45,8,0.16,133,0.17777777777777778,0.5594807921655922,FIFO
33,9,0.71,40,0.2727272727272727,0.28153852394678464,Optimal
40,11,0.43,171,0.275,0.47090622124410647,LRU
39,5,0.38,115,0.1282051282051282,0.252168375461184,LRU
36,6,0.26,32,0.16666666666666666,0.5667792344579514,FIFO
39,10,0.39,132,0.2564102564102564,0.3383835524738736,LRU
29,7,0.32,38,0.2413793103448276,0.30619142738530786,LRU
16,10,0.81,28,0.625,0.07360263202796091,Optimal
18,5,0.57,130,0.2777777777777778,0.0752310671325655,LRU
9,4,0.59,199,0.4444444444444444,0.2891593102924272,LRU
40,6,0.76,76,0.15,0.048508354035768766,Optimal
46,11,0.1,141,0.2391304347826087,0.4476397061124355,FIFO
27,3,0.92,28,0.1111111111111111,0.06282876548365797,Optimal
48,2,0.14,26,0.041666666666666664,0.4157948016863325,FIFO
44,11,0.41,46,0.25,0.43401462262009954,LRU
9,6,0.26,155,0.6666666666666666,0.32326434997357617,Optimal
5,7,0.78,90,1.4,0.2172282106369284,Optimal
8,5,0.39,178,0.625,0.32543517639229935,LRU
48,7,0.68,109,0.14583333333333334,0.12711272835750034,LRU
7,3,0.47,77,0.42857142857142855,0.40644453165438876,LRU
12,10,0.72,150,0.8333333333333334,0.17500892880448424,Optimal
29,9,0.53,136,0.3103448275862069,0.45444313418337856,LRU
48,6,0.09,183,0.125,0.5446066589246817,FIFO
24,10,0.52,68,0.4166666666666667,0.3485634336413546,LRU
35,2,0.61,137,0.05714285714285714,0.1738548428141062,LRU
27,10,0.87,93,0.37037037037037035,0.12419814363695737,Optimal
12,7,0.46,175,0.5833333333333334,0.2171307914913241,LRU
32,5,0.47,79,0.15625,0.331403965352866,LRU
32,6,0.93,174,0.1875,0.05098418798324391,Optimal
21,10,0.33,176,0.47619047619047616,0.14731063050992108,LRU
39,7,0.9,66,0.1794871794871795,0.09272588966520033,Optimal
14,9,0.84,128,0.6428571428571429,0.039736133603728144,Optimal
37,7,0.78,196,0.1891891891891892,0.09659431604771225,Optimal
30,10,0.92,46,0.3333333333333333,0.0489738657799338,Optimal
37,3,0.08,148,0.08108108108108109,0.10332038687675377,FIFO
10,2,0.53,152,0.2,0.46857738208226196,LRU
27,6,0.7,102,0.2222222222222222,0.09678398747066339,Optimal
18,10,0.17,70,0.5555555555555556,0.2882246523783539,Optimal
8,2,0.65,51,0.25,0.049772387354234275,LRU
35,9,0.07,181,0.2571428571428571,0.4915883532124049,Optimal
7,3,0.82,73,0.42857142857142855,0.1748117500012514,Optimal
34,10,0.58,66,0.29411764705882354,0.20096252433539843,LRU
41,6,0.63,94,0.14634146341463414,0.10791706578246726,LRU
42,3,0.37,117,0.07142857142857142,0.4239773303598342,LRU
19,4,0.86,71,0.21052631578947367,0.08297823466928807,Optimal
37,9,0.87,49,0.24324324324324326,0.0857841439266612,Optimal
21,6,0.77,157,0.2857142857142857,0.2148036384084293,Optimal
14,2,0.28,88,0.14285714285714285,0.7070611087849891,FIFO
6,4,0.53,170,0.6666666666666666,0.10116338987913774,LRU
35,7,0.68,151,0.2,0.08438146430695372,LRU
29,4,0.84,174,0.13793103448275862,0.11212831434702793,Optimal
23,6,0.2,111,0.2608695652173913,0.3302858344275322,Optimal
26,6,0.54,152,0.23076923076923078,0.23676240996554845,LRU
30,3,0.17,64,0.1,0.32322232521598165,FIFO
30,10,0.48,75,0.3333333333333333,0.46083479608197175,LRU
21,11,0.83,27,0.5238095238095238,0.13148373262869975,Optimal
19,9,0.49,47,0.47368421052631576,0.22033136056252553,LRU
28,3,0.72,33,0.10714285714285714,0.06523025116036914,Optimal
11,4,0.86,126,0.36363636363636365,0.08104629914342978,Optimal
49,3,0.45,134,0.061224489795918366,0.17502289929919118,LRU
29,8,0.39,58,0.27586206896551724,0.2378214619051649,LRU
43,7,0.34,63,0.16279069767441862,0.2045305484605819,LRU
17,5,0.48,157,0.29411764705882354,0.42133213966823435,LRU
49,3,0.13,130,0.061224489795918366,0.6639319982342168,FIFO
12,9,0.44,102,0.75,0.24690140347944986,LRU
41,7,0.86,83,0.17073170731707318,0.08591806638828291,Optimal
